Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
5e-05,0,50,90,0,2709.0333333333333,0.033222182574350015,90.0
5e-05,0,50,93,0,2336.7,0.03979971755039158,93.0
5e-05,0,50,93,0,2141.0333333333333,0.043436969687534056,93.0
5e-05,0,50,91,0,2521.1,0.03609535520209432,91.0
5e-05,0,50,89,0,2475.1,0.03595814310532908,89.0
5e-05,0,50,95,0,2201.6666666666665,0.04314912944738834,95.0
5e-05,0,50,87,0,3736.5,0.02328382175832999,87.0
5e-05,0,50,97,0,1871.4,0.05183285240996045,97.0
5e-05,0,50,98,0,2774.0666666666666,0.035327197135372856,98.0
5e-05,0,50,95,0,2579.233333333333,0.03683265052922703,95.0
5e-05,0,50,99,0,3442.766666666667,0.028755942410658094,99.0
5e-05,0,50,95,0,3736.366666666667,0.02542577013319535,95.0
5e-05,0,50,90,0,2953.9333333333334,0.030467850775237535,90.0
5e-05,0,50,93,0,5867.9,0.01584894084766271,93.0
5e-05,0,50,78,0,3348.4333333333334,0.023294476023613033,78.0
5e-05,0,50,94,0,4078.633333333333,0.023046935656551623,94.0
5e-05,0,50,93,0,2381.866666666667,0.039045006717420505,93.0
5e-05,0,50,99,0,2254.633333333333,0.04390957879329973,99.0
5e-05,0,50,99,0,3499.9,0.02828652247207063,99.0
5e-05,0,50,100,4,2171.9333333333334,0.04604192884987261,100.0
