Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0.0005,0,50,53,0,200.8,0.2639442231075697,53.0
0.0005,0,50,58,0,230.16666666666666,0.25199131064446056,57.99999999999999
0.0005,0,50,55,0,268.5,0.2048417132216015,55.00000000000001
0.0005,0,50,47,0,265.4,0.17709118311981917,47.0
0.0005,0,50,52,0,250.36666666666667,0.2076953801091732,52.0
0.0005,0,50,58,0,186.0,0.3118279569892473,57.99999999999999
0.0005,0,50,68,0,444.96666666666664,0.15282043598771444,68.0
0.0005,0,50,54,0,209.5,0.2577565632458234,54.0
0.0005,0,50,56,0,337.8666666666667,0.16574585635359115,56.00000000000001
0.0005,0,50,61,0,293.3666666666667,0.20793091694125668,61.0
0.0005,0,50,58,0,301.8666666666667,0.19213780918727916,57.99999999999999
0.0005,0,50,56,0,316.46666666666664,0.1769538655993259,56.00000000000001
0.0005,0,50,62,0,375.1,0.16528925619834708,62.0
0.0005,0,50,54,0,260.6666666666667,0.20716112531969308,54.0
0.0005,0,50,63,0,255.3,0.24676850763807284,63.0
0.0005,0,50,56,0,257.96666666666664,0.2170823103760176,56.00000000000001
0.0005,0,50,52,0,229.53333333333333,0.22654661632297415,52.0
0.0005,0,50,50,0,264.26666666666665,0.18920282542885974,50.0
0.0005,0,50,45,0,377.9,0.1190791214607039,45.0
0.0005,0,50,55,0,167.43333333333334,0.3284889508261995,55.00000000000001
